Kod;Nazwa;MIESIAC;Rodzaj ;Cena_i_wska�niki;Rok;Wartosc;Jednostka_miary;Atrybut
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2014;0,48;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2015;0,44;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2016;0,44;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2017;0,45;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2018;0,47;zł;
200000;DOLNOSLASKIE;maj;bułka pszenna - za 50g;cena;2019;0,5;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2006;5,15;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2007;6,21;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2008;6,16;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2009;6,92;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2010;6,25;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2011;7,41;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2012;7,49;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2013;7,53;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2014;7,11;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2015;6,57;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2016;7,05;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2017;6,71;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2018;7,11;zł;
200000;DOLNOSLASKIE;maj;kurczęta patroszone - za 1kg;cena;2019;7,84;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2006;11,82;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2007;11,49;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2008;13,51;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2009;14,28;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2010;14,64;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2011;14,95;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2012;15,68;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2013;16,54;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2014;16,75;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2015;15,31;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2016;15,8;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2017;;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2018;;zł;
200000;DOLNOSLASKIE;maj;kiełbasa wędzona - za 1kg;cena;2019;;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2006;2,38;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2007;2,42;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2008;2,89;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2009;2,76;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2010;2,73;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2011;2,85;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2012;2,84;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2013;2,88;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2014;3,08;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2015;2,93;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2016;2,78;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2017;2,76;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2018;2,82;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 3-3,5%, sterylizowane - za 1l;cena;2019;2,74;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2006;1,42;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2007;1,47;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2008;1,82;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2009;1,75;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2010;1,76;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2011;1,83;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2012;2,48;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2013;2,48;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2014;2,62;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2015;2,59;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2016;2,43;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2017;2,47;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;2,67;zł;
200000;DOLNOSLASKIE;maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2019;2,67;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2006;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2007;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2008;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2009;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2010;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2011;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2012;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2013;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2014;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2015;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2016;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2017;;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2018;27,55;zł;
200000;DOLNOSLASKIE;maj;podkoszulek męski bawełniany, bez rękawa;cena;2019;26,41;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2006;150,35;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2007;148,82;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2008;156,93;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2009;171,05;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;170,29;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2011;167,45;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;177,99;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2013;172,46;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2014;187,05;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;184,52;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2016;190,46;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2017;193,7;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;199,23;zł;
200000;DOLNOSLASKIE;maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2019;219,52;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2006;126,87;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2007;121,52;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2008;143,54;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2009;154,46;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2010;170,71;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2011;167,71;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2012;182,12;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2013;185,64;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2014;183,35;zł;
200000;DOLNOSLASKIE;maj;półbuty damskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2015;190,3;zł;
